Transaction 1: DepositorAgent-5 performed Deposit of $322. Current balance: 322
Transaction 2: DepositorAgent-2 performed Deposit of $54. Current balance: 54
Transaction 3: DepositorAgent-6 performed Deposit of $407. Current balance: 729
Transaction 4: DepositorAgent-1 performed Deposit of $228. Current balance: 282
Transaction 5: DepositorAgent-7 performed Deposit of $178. Current balance: 907
Transaction 6: DepositorAgent-0 performed Deposit of $295. Current balance: 577
Transaction 7: DepositorAgent-8 performed Deposit of $464. Current balance: 1371
Transaction 8: DepositorAgent-3 performed Deposit of $188. Current balance: 765
Transaction 9: DepositorAgent-4 performed Deposit of $100. Current balance: 865
Transaction 10: WithdrawalAgent-0 performed Withdraw of $31. Current balance: 834
Transaction 11: WithdrawalAgent-1 performed Withdraw of $13. Current balance: 821
Transaction 12: WithdrawalAgent-2 performed Withdraw of $86. Current balance: 735
Transaction 13: WithdrawalAgent-3 performed Withdraw of $40. Current balance: 695
Transaction 14: WithdrawalAgent-4 performed Withdraw of $81. Current balance: 614
Transaction 15: DepositorAgent-9 performed Deposit of $468. Current balance: 1839
Transaction 16: WithdrawalAgent-10 performed Withdraw of $79. Current balance: 1760
Transaction 17: WithdrawalAgent-11 performed Withdraw of $41. Current balance: 1719
Transaction 18: WithdrawalAgent-12 performed Withdraw of $50. Current balance: 1669
Transaction 19: WithdrawalAgent-13 performed Withdraw of $18. Current balance: 1651
Transaction 20: DepositorAgent-3 performed Deposit of $509. Current balance: 1123
Transaction 21: WithdrawalAgent-0 performed Withdraw of $29. Current balance: 1094
Transaction 22: WithdrawalAgent-12 performed Withdraw of $31. Current balance: 1620
Transaction 23: WithdrawalAgent-13 performed Withdraw of $92. Current balance: 1528
Transaction 24: DepositorAgent-8 performed Deposit of $293. Current balance: 1821
Transaction 25: DepositorAgent-9 performed Deposit of $178. Current balance: 1999
Transaction 26: DepositorAgent-7 performed Deposit of $266. Current balance: 2265
Transaction 27: WithdrawalAgent-2 performed Withdraw of $13. Current balance: 1081
Transaction 28: WithdrawalAgent-4 performed Withdraw of $59. Current balance: 1022
Transaction 29: DepositorAgent-9 performed Deposit of $438. Current balance: 2703
Transaction 30: DepositorAgent-4 performed Deposit of $418. Current balance: 1440
Transaction 31: DepositorAgent-6 performed Deposit of $254. Current balance: 2957
Transaction 32: WithdrawalAgent-12 performed Withdraw of $40. Current balance: 2917
Transaction 33: WithdrawalAgent-12 performed Withdraw of $54. Current balance: 2863
Transaction 34: DepositorAgent-0 performed Deposit of $390. Current balance: 1830
Transaction 35: WithdrawalAgent-13 performed Withdraw of $20. Current balance: 2843
Transaction 36: WithdrawalAgent-11 performed Withdraw of $73. Current balance: 2770
Transaction 37: DepositorAgent-6 performed Deposit of $315. Current balance: 3085
Transaction 38: DepositorAgent-0 performed Deposit of $564. Current balance: 2394
Transaction 39: WithdrawalAgent-10 performed Withdraw of $87. Current balance: 2998
Transaction 40: WithdrawalAgent-3 performed Withdraw of $95. Current balance: 2299
Transaction 41: WithdrawalAgent-1 performed Withdraw of $33. Current balance: 2266
Transaction 42: WithdrawalAgent-11 performed Withdraw of $74. Current balance: 2924
Transaction 43: WithdrawalAgent-0 performed Withdraw of $58. Current balance: 2208
Transaction 44: WithdrawalAgent-0 performed Withdraw of $83. Current balance: 2125
Transaction 45: WithdrawalAgent-13 performed Withdraw of $76. Current balance: 2848
Transaction 46: DepositorAgent-7 performed Deposit of $563. Current balance: 3411
Transaction 47: DepositorAgent-2 performed Deposit of $445. Current balance: 2570
Transaction 48: WithdrawalAgent-3 performed Withdraw of $77. Current balance: 2493
Transaction 49: DepositorAgent-0 performed Deposit of $41. Current balance: 2534
Transaction 50: WithdrawalAgent-4 performed Withdraw of $72. Current balance: 2462
Transaction 51: DepositorAgent-5 performed Deposit of $526. Current balance: 3937
Transaction 52: DepositorAgent-3 performed Deposit of $542. Current balance: 3004
Transaction 53: WithdrawalAgent-2 performed Withdraw of $39. Current balance: 2965
