Flagged Transaction - DepositorAgent-8: $464
Flagged Transaction - DepositorAgent-9: $468
Flagged Transaction - DepositorAgent-3: $509
Flagged Transaction - WithdrawalAgent-13: $92
Flagged Transaction - DepositorAgent-0: $564
Flagged Transaction - WithdrawalAgent-3: $95
Flagged Transaction - DepositorAgent-7: $563
Flagged Transaction - DepositorAgent-5: $526
Flagged Transaction - DepositorAgent-3: $542
Flagged Transaction - DepositorAgent-1: $527
Flagged Transaction - DepositorAgent-7: $590
Flagged Transaction - DepositorAgent-9: $551
Flagged Transaction - DepositorAgent-7: $551
Flagged Transaction - DepositorAgent-8: $505
Flagged Transaction - DepositorAgent-4: $558
Flagged Transaction - DepositorAgent-0: $482
Flagged Transaction - WithdrawalAgent-4: $91
Flagged Transaction - DepositorAgent-6: $568
Flagged Transaction - WithdrawalAgent-3: $95
Flagged Transaction - DepositorAgent-5: $581
Flagged Transaction - WithdrawalAgent-10: $93
Flagged Transaction - DepositorAgent-1: $504
Flagged Transaction - DepositorAgent-3: $529
Flagged Transaction - WithdrawalAgent-4: $95
Flagged Transaction - WithdrawalAgent-12: $99
Flagged Transaction - DepositorAgent-4: $493
Flagged Transaction - WithdrawalAgent-0: $91
Flagged Transaction - DepositorAgent-1: $498
Flagged Transaction - WithdrawalAgent-13: $99
Flagged Transaction - DepositorAgent-7: $558
Flagged Transaction - DepositorAgent-5: $488
Flagged Transaction - DepositorAgent-5: $600
Flagged Transaction - DepositorAgent-5: $544
Flagged Transaction - DepositorAgent-1: $560
Flagged Transaction - DepositorAgent-8: $484
Flagged Transaction - DepositorAgent-9: $581
Flagged Transaction - DepositorAgent-6: $545
Flagged Transaction - DepositorAgent-5: $578
Flagged Transaction - WithdrawalAgent-3: $91
Flagged Transaction - DepositorAgent-2: $453
Flagged Transaction - WithdrawalAgent-2: $93
Flagged Transaction - DepositorAgent-3: $505
Flagged Transaction - WithdrawalAgent-4: $94
Flagged Transaction - DepositorAgent-8: $559
Flagged Transaction - DepositorAgent-3: $552
Flagged Transaction - DepositorAgent-4: $567
Flagged Transaction - DepositorAgent-1: $459
Flagged Transaction - DepositorAgent-6: $559
Flagged Transaction - WithdrawalAgent-10: $93
Flagged Transaction - WithdrawalAgent-11: $92
Flagged Transaction - DepositorAgent-2: $507
Flagged Transaction - WithdrawalAgent-4: $93
Flagged Transaction - DepositorAgent-7: $550
Flagged Transaction - DepositorAgent-4: $538
Flagged Transaction - DepositorAgent-4: $590
Flagged Transaction - DepositorAgent-3: $552
Flagged Transaction - DepositorAgent-1: $531
Flagged Transaction - DepositorAgent-6: $591
Flagged Transaction - DepositorAgent-5: $451
Flagged Transaction - WithdrawalAgent-3: $92
Flagged Transaction - WithdrawalAgent-0: $94
Flagged Transaction - DepositorAgent-0: $515
Flagged Transaction - WithdrawalAgent-1: $92
Flagged Transaction - DepositorAgent-1: $534
Flagged Transaction - WithdrawalAgent-11: $95
Flagged Transaction - DepositorAgent-0: $515
Flagged Transaction - WithdrawalAgent-0: $96
Flagged Transaction - WithdrawalAgent-4: $92
Flagged Transaction - WithdrawalAgent-1: $95
Flagged Transaction - WithdrawalAgent-11: $97
Flagged Transaction - DepositorAgent-5: $561
Flagged Transaction - DepositorAgent-8: $570
Flagged Transaction - WithdrawalAgent-1: $98
Flagged Transaction - WithdrawalAgent-11: $95
Flagged Transaction - DepositorAgent-8: $490
Flagged Transaction - WithdrawalAgent-2: $92
Flagged Transaction - DepositorAgent-9: $520
Flagged Transaction - WithdrawalAgent-4: $98
Flagged Transaction - DepositorAgent-6: $471
Flagged Transaction - DepositorAgent-7: $585
Flagged Transaction - DepositorAgent-3: $465
Flagged Transaction - WithdrawalAgent-4: $96
Flagged Transaction - WithdrawalAgent-0: $97
Flagged Transaction - DepositorAgent-3: $459
